1620
EIF3G	EIF3G	MissingGeneType
DNMT1	DNMT1	MissingGeneType
S1PR2	S1PR2	MissingGeneType
MIR4322	MIR4322	MissingGeneType
MRPL4	MRPL4	MissingGeneType
ICAM1	ICAM1	MissingGeneType
ICAM4	ICAM4	MissingGeneType
ICAM5	ICAM5	MissingGeneType
ZGLP1	ZGLP1	MissingGeneType
FDX1L	FDX1L	MissingGeneType
RAVER1	RAVER1	MissingGeneType
ICAM3	ICAM3	MissingGeneType
TYK2	TYK2	MissingGeneType
CDC37	CDC37	MissingGeneType
MIR1181	MIR1181	MissingGeneType
PDE4A	PDE4A	MissingGeneType
KEAP1	KEAP1	MissingGeneType
S1PR5	S1PR5	MissingGeneType
ATG4D	ATG4D	MissingGeneType
MIR1238	MIR1238	MissingGeneType
KRI1	KRI1	MissingGeneType
CDKN2D	CDKN2D	MissingGeneType
AP1M2	AP1M2	MissingGeneType
SLC44A2	SLC44A2	MissingGeneType
LOC147727	LOC147727	MissingGeneType
ILF3	ILF3	MissingGeneType
QTRT1	QTRT1	MissingGeneType
DNM2	DNM2	MissingGeneType
MIR638	MIR638	MissingGeneType
MIR4748	MIR4748	MissingGeneType
MIR199A1	MIR199A1	MissingGeneType
TMED1	TMED1	MissingGeneType
C19orf38	C19orf38	MissingGeneType
CARM1	CARM1	MissingGeneType
YIPF2	YIPF2	MissingGeneType
C19orf52	C19orf52	MissingGeneType
SMARCA4	SMARCA4	MissingGeneType
LDLR	LDLR	MissingGeneType
SPC24	SPC24	MissingGeneType
KANK2	KANK2	MissingGeneType
DOCK6	DOCK6	MissingGeneType
C19orf80	C19orf80	MissingGeneType
TSPAN16	TSPAN16	MissingGeneType
RAB3D	RAB3D	MissingGeneType
TMEM205	TMEM205	MissingGeneType
CCDC159	CCDC159	MissingGeneType
LPPR2	LPPR2	MissingGeneType
SWSAP1	SWSAP1	MissingGeneType
EPOR	EPOR	MissingGeneType
RGL3	RGL3	MissingGeneType
CCDC151	CCDC151	MissingGeneType
PRKCSH	PRKCSH	MissingGeneType
ELAVL3	ELAVL3	MissingGeneType
ZNF653	ZNF653	MissingGeneType
ECSIT	ECSIT	MissingGeneType
CNN1	CNN1	MissingGeneType
ELOF1	ELOF1	MissingGeneType
ACP5	ACP5	MissingGeneType
ZNF627	ZNF627	MissingGeneType
ZNF833P	ZNF833P	MissingGeneType
ZNF823	ZNF823	MissingGeneType
ZNF441	ZNF441	MissingGeneType
ZNF491	ZNF491	MissingGeneType
ZNF440	ZNF440	MissingGeneType
ZNF439	ZNF439	MissingGeneType
ZNF69	ZNF69	MissingGeneType
ZNF700	ZNF700	MissingGeneType
ZNF763	ZNF763	MissingGeneType
ZNF433	ZNF433	MissingGeneType
ZNF878	ZNF878	MissingGeneType
ZNF844	ZNF844	MissingGeneType
ZNF788	ZNF788	MissingGeneType
ZNF20	ZNF20	MissingGeneType
ZNF625-ZNF20	ZNF625-ZNF20	MissingGeneType
ZNF625	ZNF625	MissingGeneType
ZNF136	ZNF136	MissingGeneType
ZNF44	ZNF44	MissingGeneType
ZNF563	ZNF563	MissingGeneType
ZNF442	ZNF442	MissingGeneType
ZNF799	ZNF799	MissingGeneType
ZNF443	ZNF443	MissingGeneType
ZNF709	ZNF709	MissingGeneType
ZNF564	ZNF564	MissingGeneType
ZNF490	ZNF490	MissingGeneType
ZNF791	ZNF791	MissingGeneType
MAN2B1	MAN2B1	MissingGeneType
WDR83	WDR83	MissingGeneType
WDR83OS	WDR83OS	MissingGeneType
DHPS	DHPS	MissingGeneType
FBXW9	FBXW9	MissingGeneType
TNPO2	TNPO2	MissingGeneType
